regex,vendor,category,hq,critical,description,criticalWHY,srctxtrecord,srcHQ
^MS=ms\d+,Microsoft 365,office,US,yes,Office Suite (MS Office) and Identity management system,breaks general-purpose office tool,https://learn.microsoft.com/en-us/entra/identity/users/domains-manage,
^ms-domain-verification=,Microsoft 365,office,US,yes,Office Suite,breaks general-purpose office tool,https://learn.microsoft.com/en-us/entra/identity/users/domains-manage,
include:spf\.protection\.outlook\.com,Microsoft 365,email,US,yes,eMail delivery,breaks office communication,https://learn.microsoft.com/en-us/entra/identity/users/domains-manage,
^google-site-verification=,Google,verification,US,yes,Google Workplace (Office Suite),breaks general-purpose office tool,https://knowledge.workspace.google.com/admin/domains/verify-your-domain-with-a-txt-record,
include:_spf\.google\.com,Google Workspace,email,US,yes,Google Workplace (Office Suite & eMail),breaks office communication,,
^atlassian-domain-verification=,Atlassian,collaboration,AU,yes,Workgroup tool,should not affect immediate services,https://www.atlassian.com/software/guard/guide/organizations-domain-claim#what-is-an-atlassian-organization,
^docusign=,DocuSign,documents,US,yes,Document Signing,B2B and b2C contracts that req. actual signatures,,
^facebook-domain-verification=,Meta,social,US,no,Social Media Business Account verification,SM are supplemental channels,,
^adobe-idp-site-verification=,Adobe,creative,US,no,Adobe Suite Company Login,critical only if Graphics is your primary business,https://helpx.adobe.com/enterprise/using/verify-domain-ownership.html,
^adobe-sign-verification=,Adobe Sign,documents,US,yes,Document Signing,no,https://helpx.adobe.com/sign/using/claim-domain-names.html,
^zoom_verify_,Zoom,video,US,no,Video Conferencing,There are other tools available,,
^slack-domain-verification=,Slack (Salesforce),collaboration,US,yes,Groupware,,,
^dropbox-domain-verification=,Dropbox,storage,US,no,File Sync,"inconvinient, sending files, but likely not break production",,
include:_spf\.salesforce\.com,Salesforce,crm,US,yes,CRM and process management,CRM likely inserted into key processes,,
include:.*hubspotemail\.net,HubSpot,marketing,US,no,,newletter can wait,,
include:mail\.zendesk\.com,Zendesk,support,US,no,,delayed support,,
^webexdomainverification\.=,Cisco Webex,video,US,no,,video calls can be substituted easily,,
^cisco-ci-domain-verification=,Cisco,collaboration,US,yes,,,,
^_github-challenge-,GitHub (Microsoft),development,US,yes,soft dev repo,internal build pipeline might actually depend on external hosting,,
^amazonses:,Amazon SES,email,US,yes,,,,
include:amazonses\.com,Amazon SES,email,US,yes,,Part of the regular eMail pipeline,,
include:sendgrid\.net,SendGrid (Twilio),email,US,yes,,Part of the regular eMail pipeline,,
include:servers\.mcsv\.net,Mailchimp (Intuit),email_marketing,US,no,,newletter can wait,,
include:.*mimecast,Mimecast,email_security,GB,no,,missing monitoring will not break functionality,,
include:.*pphosted\.com,Proofpoint,email_security,US,no,,missing monitoring will not break functionality,,
^apple-domain-verification=,Apple,mobile,US,no,device sync,sync can wait,,
^yandex-verification:,Yandex,search,RU,no,SEO,missing seo will not break production,,
include:mailgun\.org,Mailgun (Sinch),email,SE,yes,"can be used for marketing, but also for confirmation emails, etc..",boarderline,,
include:spf\.mtasv\.net,Postmark,email,US,yes,,,,
^workplace-domain-verification=,Meta Workplace,collaboration,US,no,,,,
^teamviewer-sso-verification=,TeamViewer,remote,DE,no,remote desktop,"usually for mainanance and support, nor for regular tasks",,
^notion-domain-verification=,Notion,productivity,US,no,webiste management,,https://www.notion.com/help/connect-a-custom-domain-with-notion-sites,
Dynatrace-site-verification=,Dynatrace,monitoring,AT,no,,,,
